PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
91,0,3,male,20.2,0,0,8.7492,S
92,0,1,male,71.6,0,0,44.8917,C
93,1,2,male,0.4,2,1,28.6364,S
94,0,3,male,32.2,0,0,9.6389,Q
95,0,1,male,53.7,0,0,43.6707,S
96,0,3,female,24.0,0,0,7.1045,Q
97,0,2,male,32.7,0,0,13.6636,S
98,0,3,female,28.4,0,0,8.2296,Q
99,0,3,male,26.4,0,0,10.2498,Q
100,0,3,female,8.4,4,2,31.7769,S
101,0,1,male,37.8,0,0,12.9433,S
102,0,3,male,59.9,0,0,9.8191,S
103,1,1,female,26.4,1,0,155.1344,C
104,0,3,male,27.5,1,0,14.3034,S
105,0,1,male,30.0,1,0,64.7487,S
106,0,2,male,26.5,1,0,35.6342,S
107,0,3,female,30.0,0,0,7.6707,Q
108,1,1,female,42.2,1,1,139.1221,C
109,0,3,male,23.6,0,0,9.5804,S
110,1,1,female,20.0,1,0,218.493,C
111,0,1,male,26.9,0,0,36.9421,S
112,0,3,male,25.5,0,0,7.9914,S
113,0,1,male,63.5,0,0,23.6095,S
114,0,2,male,33.7,0,0,11.1664,S
115,0,2,male,27.9,0,0,21.1459,C
116,0,2,male,40.9,1,0,29.3037,S
117,1,1,female,52.5,1,0,82.5374,C
118,0,1,male,61.9,0,0,30.1887,C
119,0,3,male,32.2,0,0,9.2144,S
120,0,3,female,25.9,0,0,7.5439,S
121,0,1,male,23.4,2,3,268.3312,S
122,0,1,male,28.2,0,0,31.2222,S
123,0,1,male,30.8,0,1,247.0523,C
124,1,2,female,27.0,0,0,15.7756,S
125,0,3,male,23.6,0,0,8.0591,S
126,1,2,male,0.4,2,1,28.5807,S
127,0,3,male,29.0,0,0,10.5571,C
128,0,2,male,30.7,0,0,6.2302,S
129,1,1,female,42.2,1,1,137.7568,C
130,0,3,male,8.7,4,1,34.4525,S
131,0,3,female,23.1,0,0,10.0134,S
132,0,2,male,28.6,0,0,18.7189,S
133,1,1,female,44.2,0,1,62.7033,C
134,0,3,male,7.2,4,2,38.2364,S
135,1,3,male,25.6,0,0,7.5835,C
136,0,3,male,28.1,0,0,10.2218,S
137,1,3,male,4.4,1,1,12.3826,S
138,1,1,male,35.2,0,0,28.4053,S
139,0,2,male,61.1,1,1,39.798,S
140,1,1,female,35.6,0,1,78.7237,S
141,0,1,male,63.7,0,0,25.2698,S
142,0,2,male,21.8,0,0,19.5143,S
143,0,3,male,27.8,0,0,6.4767,S
144,1,1,female,34.6,0,0,144.4283,S
145,1,2,female,42.5,0,0,9.6887,Q
146,1,1,male,27.2,0,0,40.3755,S
147,0,1,female,54.2,0,0,31.6027,C
148,0,3,male,26.9,0,0,8.4189,S
149,0,1,male,53.3,0,2,107.0919,C
150,0,1,male,29.5,0,0,40.3353,C
151,1,3,male,28.3,0,0,13.4336,S
152,0,1,male,38.9,1,0,55.8655,S
153,1,1,female,25.4,1,0,80.3065,C
154,1,1,male,3.9,0,2,81.2327,S
155,1,1,male,50.7,0,0,57.4465,C
156,0,3,male,26.8,0,0,10.7372,C
157,1,3,male,36.9,0,0,14.3746,S
158,0,3,female,7.2,3,2,27.0374,S
159,1,1,male,0.4,1,2,151.9283,S
160,1,1,female,10.6,1,2,158.7205,S
161,0,3,male,26.2,1,0,12.8636,Q
162,0,3,male,26.2,1,2,21.0237,S
163,1,1,female,32.9,1,2,112.6994,S
164,0,3,male,37.6,0,0,8.8122,S
165,1,3,male,25.8,0,0,9.1108,C
166,0,1,male,56.2,1,1,83.6675,S
167,1,1,male,46.7,1,0,79.5474,C
168,1,2,female,26.7,0,0,18.8337,C
169,1,3,female,23.8,0,0,7.3734,Q
170,1,3,male,28.0,0,0,23.456,S
171,0,3,male,31.6,0,0,9.8061,S
172,0,2,male,20.1,0,0,30.1297,S
173,0,2,male,26.4,0,2,42.8831,C
174,1,1,female,21.5,3,2,274.7004,S
175,1,1,female,16.0,0,1,53.2877,S
176,0,3,male,31.2,0,0,9.4484,S
177,0,3,male,27.5,0,0,9.3835,C
178,0,1,male,61.6,0,1,65.6094,C
179,1,2,female,39.2,0,0,14.7695,Q
180,0,2,male,51.4,0,0,19.9332,S
181,1,1,female,22.0,3,2,268.2534,S
182,1,3,female,26.8,0,0,9.6659,Q
183,0,3,male,20.0,0,0,12.1311,S
184,1,1,female,40.1,0,0,237.8472,C
185,0,3,male,26.8,0,0,8.195,S
186,0,3,male,36.2,0,0,8.0365,S
187,0,3,male,31.1,0,0,9.4125,S
188,0,3,female,14.2,3,1,25.8166,S
189,0,3,male,34.0,0,0,9.0858,S
190,1,1,male,52.8,0,0,26.8005,S
191,0,3,female,23.4,0,0,6.9093,S
192,0,3,male,29.8,2,0,23.4376,S
193,1,2,male,29.4,1,0,20.8196,S
194,0,3,female,2.9,4,2,34.3588,S
195,1,1,female,27.1,0,0,72.9916,C
196,1,2,female,36.9,0,0,13.1068,S
197,0,3,male,33.2,0,0,6.642,S
198,0,3,male,6.7,4,1,30.1938,Q
199,0,3,female,30.6,1,0,16.6668,S
200,0,3,female,28.8,0,0,6.736,Q
201,0,3,male,36.0,0,0,8.6254,S
202,0,3,female,35.3,0,0,6.3911,S
203,0,3,male,0.4,5,2,40.7061,S
204,0,3,male,26.8,0,0,9.1867,S
205,1,1,female,39.8,0,0,73.3244,S
206,0,3,female,3.2,3,2,28.6391,S
207,0,3,male,38.6,0,0,11.0395,S
208,1,3,female,14.6,1,0,13.6767,C
209,0,3,male,59.2,0,0,11.4077,S
210,0,1,male,28.7,0,0,18.8472,S
211,1,2,male,31.8,0,0,21.3936,S
212,1,3,male,5.5,1,1,14.4865,S
213,0,2,male,68.3,0,0,20.7025,S
214,1,3,female,50.5,0,0,6.197,S
215,0,3,male,9.0,5,2,46.0911,S
216,1,3,female,18.3,0,1,15.6476,S
217,0,3,female,8.4,4,2,32.3197,S
218,0,2,male,69.6,0,0,20.6262,S
219,1,2,female,24.8,1,2,39.0138,S
220,1,2,female,40.6,0,0,16.9526,S
221,0,3,female,36.4,1,0,11.3899,S
222,0,3,female,3.8,3,2,28.225,S
223,0,3,female,31.0,0,0,8.119,Q
224,1,3,male,5.4,1,1,17.834,C
225,1,3,female,6.5,2,1,22.4724,C
226,0,3,male,27.9,0,0,9.6379,S
227,1,1,female,15.4,0,1,60.7711,S
228,0,1,male,52.7,0,1,58.5709,C
229,0,3,female,35.1,1,0,13.1352,S
230,0,1,male,26.5,0,0,50.5028,S
231,0,3,male,37.7,0,0,7.0652,Q
232,0,1,male,44.6,0,0,56.9013,C
233,0,3,male,19.9,0,0,9.1867,S
234,0,3,female,29.4,1,1,16.4256,S
235,0,3,male,24.7,0,0,8.8501,S
236,0,3,male,32.1,1,0,12.458,S
237,0,3,male,28.6,0,0,7.3554,S
238,0,3,male,26.1,0,0,9.6463,Q
239,0,3,male,28.6,0,0,6.3182,Q
240,0,3,male,30.7,0,0,10.1922,C
241,0,2,male,24.3,0,0,14.4154,S
242,1,3,female,8.2,0,1,13.3804,S
243,0,2,male,36.2,1,0,37.0717,S
244,1,2,female,24.0,1,0,22.3775,C
245,1,3,female,29.5,1,0,7.7,S
246,1,1,female,52.0,1,0,61.4049,C
247,1,1,female,42.4,1,0,60.3496,S
248,1,3,male,4.2,1,1,15.5451,S
249,1,2,female,42.3,1,1,41.7908,S
250,0,3,male,22.2,0,0,11.8264,S
251,1,3,female,19.9,0,0,8.1322,S
252,1,1,male,36.2,1,0,96.9917,S
253,1,1,female,20.5,0,2,42.8135,S
254,0,1,male,59.7,0,0,33.9252,S
255,0,3,female,28.3,0,2,7.9045,Q
256,0,3,male,70.1,0,0,9.7084,S
257,1,1,female,33.5,0,0,40.216,C
258,0,3,male,23.7,0,0,14.763,S
259,0,3,female,28.2,1,2,21.8317,S
260,0,3,male,29.3,0,0,10.5805,Q
261,0,1,male,27.0,0,0,36.2568,C
262,0,3,male,1.9,4,1,33.5622,S
263,1,1,male,37.8,1,0,92.9336,S
264,0,3,male,28.5,3,1,32.867,S
265,0,3,male,44.7,0,0,11.5348,S
266,0,3,male,57.6,0,0,12.4934,S
267,1,3,female,26.9,0,0,8.3374,Q
268,0,3,male,27.3,0,0,9.1599,Q
269,1,2,male,0.4,2,1,28.1177,S
270,0,3,male,29.1,0,0,8.2742,S
271,1,3,female,29.6,1,0,8.7083,S
272,0,1,male,30.7,0,0,41.6389,S
273,0,3,female,28.3,0,4,25.196,S
274,0,3,male,28.0,0,0,7.9362,S
275,1,2,male,1.5,1,1,25.4172,S
276,1,2,female,51.1,1,3,36.4478,S
277,0,3,male,35.3,1,1,21.8459,S
278,0,3,male,30.5,0,0,8.91,S
279,1,3,male,24.3,0,0,16.1317,S
280,0,3,male,8.2,5,2,45.7947,S
281,0,3,female,41.7,0,5,30.4591,S
282,1,1,male,28.0,0,0,30.2645,S
283,0,1,male,46.2,0,0,38.2755,S
284,1,2,female,34.7,0,0,17.5543,S
285,0,1,male,51.2,1,0,105.473,Q
286,0,3,male,40.4,0,0,9.9779,S
287,0,2,male,22.2,0,0,16.9781,S
288,0,3,male,26.6,0,0,10.7994,Q
289,1,2,female,37.2,1,1,37.5789,S
290,0,2,male,48.9,0,0,17.7643,S
291,0,3,male,29.3,0,0,6.7967,Q
292,0,3,male,31.1,0,0,10.1227,S
293,0,2,male,42.7,0,0,17.8869,S
294,0,3,male,17.9,0,0,16.5791,S
295,0,2,male,28.1,0,0,15.7409,S
296,0,3,male,24.1,2,0,20.4371,S
297,0,3,male,29.2,0,0,11.1922,C
298,0,3,female,9.7,4,2,32.562,S
299,0,3,female,23.8,0,0,9.4975,S
300,1,1,male,28.9,0,0,30.2456,S
301,0,3,male,22.8,1,0,9.6915,S
302,0,2,male,28.9,1,0,25.5533,S
303,0,3,male,24.7,0,0,5.9597,S
304,1,2,female,19.9,0,2,22.5387,S
305,1,2,female,37.0,0,0,9.3694,Q
306,0,3,male,25.8,8,2,64.8275,S
307,1,3,female,24.0,0,0,6.3484,Q
308,1,3,male,4.0,1,1,17.4123,S
309,0,1,male,46.7,0,0,26.8734,S
310,0,3,male,27.4,0,0,9.695,S
311,0,1,male,59.2,0,1,85.1285,S
312,0,3,male,21.7,0,0,5.9905,S
313,1,1,female,27.8,1,2,176.4048,S
314,1,3,female,27.4,0,2,19.4956,C
315,0,3,male,30.5,0,0,8.6859,C
316,0,3,male,34.9,1,1,19.1047,S
317,0,3,male,7.6,4,1,31.4505,Q
318,1,3,female,21.6,0,0,7.7647,S
319,0,3,male,17.5,1,3,20.7394,S
320,0,3,male,44.2,0,1,15.1271,S
321,0,1,male,43.1,0,0,34.9396,S
322,0,2,male,40.2,0,0,12.4098,S
323,1,2,female,31.8,1,2,30.7493,S
324,1,1,male,16.2,0,2,100.8971,C
325,0,3,male,25.4,3,1,33.3128,S
326,0,2,male,40.1,1,1,27.669,S
327,0,2,male,37.4,0,0,8.94,S
328,0,3,male,41.0,0,2,16.9978,S
329,1,1,female,39.4,0,0,229.4548,C
330,0,3,male,29.7,0,0,7.5845,S
331,0,3,female,14.4,1,1,12.6554,C
332,0,3,male,25.8,0,0,7.4317,S
333,0,3,male,26.8,0,0,10.1838,S
334,0,2,male,24.0,0,0,16.3168,S
335,0,1,male,42.3,0,1,176.4051,S
336,1,1,female,38.7,0,0,231.0933,C
337,1,1,male,54.3,0,0,36.4817,S
338,1,1,female,55.6,0,1,78.946,C
339,0,3,male,50.5,0,0,9.7007,S
340,0,3,female,21.5,2,0,18.9494,S
341,0,2,male,33.1,0,0,10.3487,S
342,0,2,male,28.5,0,0,23.3919,C
343,1,3,female,20.6,0,1,15.6942,S
344,0,3,female,9.8,3,2,26.9327,S
345,0,3,male,27.9,0,0,8.8079,S
346,0,3,male,32.0,0,0,8.4822,S
347,0,2,male,27.5,0,0,15.4848,S
348,1,3,female,21.0,0,0,9.9714,S
349,0,3,male,27.7,0,0,9.7933,S
350,0,3,male,31.4,0,0,12.6332,C
351,1,2,male,0.4,0,2,18.5567,S
352,1,1,female,40.8,1,1,116.9045,C
353,0,3,female,27.2,1,2,20.1202,S
354,0,2,male,48.4,0,0,16.2982,S
355,1,2,female,4.7,1,1,27.6555,S
356,1,1,female,42.0,0,0,231.3865,C
357,0,3,male,27.0,8,2,62.7662,S
358,1,2,male,4.8,1,1,24.2702,S
359,0,3,male,27.5,0,0,9.9732,Q
360,0,1,male,46.8,0,0,38.4502,S
361,0,3,male,19.0,0,0,8.9954,S
362,0,3,male,26.8,1,0,9.4495,Q
363,1,3,female,28.9,1,0,15.4862,Q
364,0,3,female,15.8,1,1,12.5157,C
365,0,3,male,31.2,0,0,14.6697,C
366,1,2,female,5.4,1,2,28.5043,S
367,1,2,male,2.7,1,1,22.6849,S
368,0,3,female,39.9,0,5,26.8532,Q
369,1,3,female,4.8,1,1,14.8246,S
370,1,3,female,26.2,0,2,16.5762,S
371,0,3,male,38.3,1,1,19.833,S
372,0,3,male,23.8,0,0,14.3189,S
373,0,3,male,30.5,0,0,12.0562,S
374,0,3,male,16.9,0,0,5.1358,S
375,0,3,male,25.4,2,0,22.392,S
376,0,1,male,45.9,0,0,51.4996,S
377,0,3,male,36.6,1,1,11.0653,Q
378,0,3,male,16.2,1,3,22.0222,S
379,0,1,male,46.6,0,0,18.7611,S
380,0,1,male,27.5,0,0,18.6355,S
381,0,2,male,23.7,0,0,12.1018,S
382,1,3,female,20.7,0,0,10.6035,S
383,0,3,male,26.8,0,0,6.7107,S
384,0,3,male,29.0,0,0,8.3196,Q
385,0,3,male,60.8,0,0,10.8424,S
386,0,3,female,28.8,1,2,21.6398,S
387,0,3,male,19.6,0,0,9.2889,S
388,0,3,male,33.4,0,0,8.581,S
389,0,3,male,28.6,8,2,64.4496,S
390,1,3,female,27.9,0,0,10.0389,Q
391,0,2,male,71.5,0,0,20.7183,S
392,1,1,male,46.2,0,0,30.0137,S
393,0,3,male,50.0,0,0,11.6654,S
394,0,3,female,37.5,1,0,9.3215,S
395,0,1,male,58.6,0,0,24.2575,C
396,0,3,male,29.9,0,0,9.4748,C
397,0,3,female,30.2,3,1,29.2187,S
398,1,1,female,22.3,0,1,67.4517,S
399,1,1,male,29.1,0,0,27.9318,C
400,0,1,male,25.1,0,0,134.4094,C
401,1,1,male,48.6,1,0,96.0217,C
402,0,3,male,11.1,5,2,46.3229,S
403,1,2,female,21.0,1,2,43.6015,C
404,1,1,male,41.2,0,0,21.4553,S
405,0,3,female,40.3,0,2,19.4981,S
406,0,1,male,44.4,1,0,64.1408,S
407,0,3,female,12.2,0,1,15.611,S
408,1,1,female,15.6,0,2,85.4253,S
409,1,1,female,33.3,1,2,67.8901,S
410,0,1,male,47.1,0,0,37.0466,S
411,0,1,male,22.9,2,3,277.8727,S
412,0,3,male,26.9,0,0,8.7384,S
413,0,3,female,21.9,2,2,25.6128,S
414,1,3,male,27.7,0,0,20.1173,S
415,0,3,female,27.3,0,0,8.1822,S
416,0,1,male,31.3,0,0,33.3799,S
417,0,3,male,14.9,1,1,14.6529,S
418,0,3,male,42.4,0,0,11.2643,S
419,1,2,female,38.7,0,0,7.4669,Q
420,0,3,female,21.5,1,0,13.8129,S
421,1,3,female,23.7,0,2,18.349,S
422,1,1,male,27.1,0,0,27.4123,S
423,0,3,female,27.1,1,0,16.1168,S
424,0,3,male,31.5,0,0,9.4826,S
425,0,3,male,30.5,0,0,10.2057,Q
426,1,1,female,42.2,1,1,105.1583,C
427,0,3,male,28.9,0,0,10.9754,C
428,0,3,female,42.9,0,1,12.0969,C
429,0,3,female,41.8,0,5,31.5895,S
430,0,3,male,28.3,0,0,10.6064,Q
431,1,1,male,29.5,0,0,17.5962,S
432,1,1,female,53.5,0,1,77.978,C
433,0,3,female,28.2,0,0,4.9633,Q
434,0,2,male,25.8,0,0,12.1142,S
435,1,1,male,52.0,2,0,141.945,S
436,1,1,male,27.3,0,0,32.0905,S
437,1,3,male,10.0,0,1,16.5437,S
438,0,2,male,33.1,0,0,17.6157,C
439,0,1,male,23.8,0,0,126.8159,C
440,0,3,male,33.2,0,0,8.2159,S
441,0,3,male,27.1,0,0,9.2305,S
442,1,1,male,13.2,0,2,104.5273,C
443,1,3,female,17.9,0,1,13.7235,S
444,0,1,male,40.9,0,0,20.6428,C
445,1,3,male,36.4,0,0,14.9625,S
446,0,3,male,26.5,0,0,10.8885,C
447,1,1,female,25.5,0,0,64.0632,C
448,1,2,female,54.2,0,0,17.8317,S
449,0,3,male,33.4,0,0,8.3992,S
450,0,3,male,27.1,0,0,10.3592,Q
451,0,3,male,20.1,0,0,8.2582,S
452,1,3,female,25.3,0,0,8.6428,Q
453,0,2,male,27.3,1,2,45.183,C
454,0,3,female,27.8,0,0,6.4878,Q
455,1,1,female,34.8,1,0,95.4587,S
456,1,1,female,25.5,1,0,121.2709,C
457,0,3,male,26.1,3,1,32.3208,S
458,1,2,female,26.5,3,0,40.2664,S
459,1,3,female,25.5,0,0,7.5303,Q
460,0,2,male,41.3,1,0,36.8749,S
461,0,3,male,41.1,0,0,9.6288,S
462,0,3,male,29.8,0,0,9.4609,S
463,0,1,female,28.1,1,2,145.4967,S
464,0,2,male,34.5,2,0,68.8251,S
465,0,1,male,28.5,0,0,33.774,C
466,1,2,female,27.8,0,0,14.9424,S
467,0,3,male,27.2,0,0,7.7609,S
468,1,3,male,31.3,1,0,15.8957,Q
469,1,3,male,34.3,0,0,18.6751,S
470,0,2,male,26.8,0,0,11.3783,S
471,0,3,male,40.4,0,0,8.9892,S
472,0,1,male,48.6,1,0,120.4805,C
473,0,3,male,29.7,2,0,23.102,S
474,0,2,male,58.1,0,0,19.9297,S
475,0,3,male,44.6,0,0,8.2177,C
476,0,1,male,52.5,0,1,61.1181,C
477,0,3,male,59.6,0,0,8.8425,S
478,0,3,male,26.2,0,0,8.7222,S
479,0,3,male,29.6,0,0,9.8572,C
480,1,1,female,40.5,0,1,226.6176,S
481,1,1,male,47.7,0,0,61.8085,C
482,0,1,male,28.3,0,0,31.4117,C
483,1,3,male,27.8,0,0,14.994,S
484,0,1,male,38.2,1,0,72.3135,S
485,0,3,female,29.3,1,1,16.9329,S
486,0,1,male,38.3,1,0,65.1421,S
487,0,3,male,7.1,4,1,37.9467,S
488,0,3,male,24.3,0,0,6.5993,S
489,1,1,female,43.3,0,1,61.6233,C
490,0,1,male,46.6,0,0,31.5298,S
491,0,3,male,20.9,0,0,12.1328,S
492,0,3,male,24.7,0,0,9.6281,S
493,0,3,male,24.7,0,0,8.1923,S
494,1,3,male,5.1,1,1,13.3135,S
495,1,3,male,37.0,0,0,16.553,S
496,0,3,female,21.0,1,0,12.8651,S
497,0,3,male,49.2,0,0,10.0611,S
498,1,1,female,33.1,1,2,79.7321,S
499,1,2,female,49.1,0,0,15.2564,S
500,1,3,male,30.1,0,0,14.2079,S
501,1,1,male,7.9,1,2,123.6034,S
502,0,3,male,19.3,0,0,11.5047,S
503,0,3,male,46.3,0,0,9.5456,S
504,1,3,male,28.1,0,0,13.6988,S
505,1,3,male,29.7,0,0,15.9826,S
506,0,3,female,29.6,1,0,15.2293,S
507,0,3,male,37.8,0,0,8.4324,S
508,1,1,male,29.4,0,0,33.5645,S
509,0,3,male,25.5,0,0,5.8526,S
510,0,3,male,25.9,0,0,11.1306,S
511,0,3,female,38.9,0,5,26.1463,Q
512,0,2,male,26.4,0,0,24.7601,C
513,1,1,female,49.2,0,0,38.381,S
514,0,3,male,35.6,1,1,18.2128,S
515,0,3,male,34.1,1,1,19.7656,S
516,1,2,female,23.8,0,0,22.9373,C
517,0,3,male,34.3,0,0,8.6291,S
518,0,1,male,43.3,0,0,30.3798,S
519,0,2,male,30.3,1,0,39.5811,S
520,0,3,male,29.9,0,0,6.8619,Q
521,1,3,female,13.5,1,0,13.4503,C
522,0,3,male,31.4,0,0,10.7751,C
523,0,3,male,22.7,0,0,14.1949,C
524,0,1,male,35.4,0,0,18.6814,S
525,1,1,female,39.5,0,0,78.4748,S
526,0,1,male,46.6,0,0,17.9154,S
527,0,3,female,29.6,8,2,63.702,S
528,1,3,female,26.2,0,0,8.9008,Q
529,0,1,male,29.8,0,0,29.9588,C
530,1,2,female,36.4,0,0,14.8745,S
531,0,1,male,29.0,0,0,30.3559,S
532,1,2,female,30.1,1,0,20.2556,S
533,1,3,female,25.3,0,1,14.3715,S
534,1,1,male,26.5,0,0,41.3877,S
535,1,1,male,28.1,1,0,55.6469,S
536,1,2,female,6.6,0,2,21.6179,S
537,0,3,male,27.7,0,0,8.438,Q
538,1,1,female,60.9,1,0,79.4563,S
539,1,2,female,33.3,1,0,26.2428,S
540,0,3,female,23.6,0,0,8.9185,S
541,0,3,female,27.7,1,0,16.1369,C
542,0,2,male,22.3,1,0,40.4593,S
543,1,3,female,31.0,1,1,17.4808,S
544,1,2,female,28.9,1,0,24.0097,S
545,0,3,male,27.4,0,0,8.9472,Q
546,1,1,female,23.4,1,0,67.6827,S
547,1,1,female,30.5,0,0,107.1043,C
548,0,3,male,27.9,0,0,8.1693,S
549,0,3,male,30.0,0,0,9.2756,S
550,0,3,male,31.6,0,0,8.4141,C
551,1,3,male,37.1,0,0,17.0531,S
552,0,3,male,21.3,0,0,11.9271,S
553,1,2,female,33.9,0,0,10.4431,S
554,0,2,male,27.5,0,0,26.2723,C
555,0,3,male,41.9,1,5,35.5818,S
556,0,3,male,33.4,0,0,9.8551,S
557,0,3,female,23.4,0,0,8.4906,S
558,0,1,male,58.6,0,0,29.8704,S
559,0,2,male,26.2,0,0,10.2919,S
560,1,2,female,48.9,0,0,14.3042,S
561,0,3,female,31.8,1,1,18.7214,S
562,0,3,male,19.0,0,0,9.0314,S
563,0,2,male,42.5,0,2,25.2651,S
564,0,3,female,28.5,0,0,7.2262,Q
565,0,3,male,29.0,0,0,12.0368,S
566,1,2,female,37.2,0,0,12.9463,Q
567,1,3,female,25.7,0,2,19.0283,C
568,1,1,female,58.0,2,0,70.412,S
569,1,1,male,27.5,0,0,34.9755,S
570,0,3,male,36.2,0,0,8.6954,S
571,0,3,male,32.2,0,0,6.3029,S
572,1,1,female,17.8,0,1,71.2157,C
573,0,3,male,28.6,0,0,9.6558,S
574,1,3,female,18.2,0,0,9.9585,C
575,0,1,male,43.2,0,0,41.3239,S
576,0,3,male,28.6,0,0,8.8945,S
577,0,3,female,40.4,0,5,31.0274,S
578,0,3,male,25.5,0,0,11.1075,S
579,0,3,male,69.0,0,0,7.9903,Q
580,1,1,female,61.0,0,0,35.6849,S
581,0,3,male,17.1,0,0,12.5339,S
582,0,2,male,27.2,0,0,25.8518,C
583,0,3,male,32.1,0,0,10.2845,C
584,0,3,female,38.0,0,0,5.8006,S
585,0,3,male,30.8,0,0,8.4768,S
586,0,3,male,43.5,0,0,9.6426,S
587,0,1,male,57.0,0,1,90.5935,S
588,1,1,female,22.3,0,0,81.2516,S
589,0,3,female,26.4,0,0,7.1526,Q
590,0,3,male,25.0,0,0,9.548,S
591,1,2,female,31.4,1,0,28.8537,S
592,1,2,female,21.3,0,0,16.7908,S
593,1,1,female,41.2,0,1,214.4384,S
594,1,2,female,31.0,0,0,16.3468,S
595,0,1,male,29.3,0,0,35.741,C
596,0,3,male,33.2,0,0,8.8221,S
597,1,2,female,33.5,0,0,13.6101,S
598,0,2,male,33.4,1,0,25.7562,S
599,1,1,male,57.9,0,0,29.9958,C
600,0,3,male,30.2,0,0,8.6695,S
601,0,3,male,39.3,0,0,9.8088,S
602,0,3,male,36.2,1,1,19.1383,S
603,1,1,female,36.6,0,0,91.3232,S
604,0,3,male,25.6,0,0,9.9881,S
605,0,1,male,42.6,0,1,173.5558,S
